紹介ID	紹介日	紹介時間	AL店舗番号	AL店舗名	担当者	統括エリア	都道府県	東西	最新ステータス	契約時間	契約サービス	光サービス	ISP申込	ひかり電話	ウィルスクリア	リモートサポート	無線ルータ	契約日	コミュファ光	ひかりTVパー	無料PC申込
1843607511	01-Oct-13	A(10-12)	w200	株式会社ハウスパートナー 南柏店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607512	01-Oct-13	A(10-12)	w201	株式会社ハウスパートナー綾瀬店	ハウパ		東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607513	01-Oct-13	A(10-12)	w200	株式会社ハウスパートナー 南柏店	ハウパ		千葉県	東	契約	D(16-18)	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）	光ポータブル	2013/10/1	ヨシダ	案内了承	NEXUS7
1843607515	01-Oct-13	A(10-12)	e6022	株式会社エイブル 　谷塚店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607516	01-Oct-13	A(10-12)	e6035	株式会社エイブル 　所沢西口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607519	01-Oct-13	A(10-12)	e3008	株式会社エイブル 　新松戸店	エイブル	千葉	千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607520	01-Oct-13	A(10-12)	e2061	株式会社エイブル 　秋津店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607521	01-Oct-13	A(10-12)	e4027	株式会社エイブル 　港北センター南店	エイブル	神奈川東	神奈川県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607522	01-Oct-13	A(10-12)	e6030	株式会社エイブル 　志木東口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607523	01-Oct-13	A(10-12)	e6030	株式会社エイブル 　志木東口店	エイブル	埼玉	埼玉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607524	01-Oct-13	A(10-12)	e6030	株式会社エイブル 　志木東口店	エイブル	埼玉	埼玉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607525	01-Oct-13	A(10-12)	e6030	株式会社エイブル 　志木東口店	エイブル	埼玉	埼玉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607526	01-Oct-13	A(10-12)	e6035	株式会社エイブル 　所沢西口店	エイブル	埼玉	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607527	01-Oct-13	A(10-12)	e6018	株式会社エイブル 　武蔵浦和店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607528	01-Oct-13	A(10-12)	e6018	株式会社エイブル 　武蔵浦和店	エイブル	埼玉	埼玉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607529	01-Oct-13	B(12-14)	e6018	株式会社エイブル 　武蔵浦和店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607530	01-Oct-13	B(12-14)	e4007	株式会社エイブル 　武蔵小杉店	エイブル	神奈川東	神奈川県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607535	01-Oct-13	B(12-14)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	ＮＧ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607536	01-Oct-13	B(12-14)	e1064	株式会社エイブル 　祐天寺店	エイブル	東京南	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607555	01-Oct-13	B(12-14)	e1069	株式会社エイブル 　用賀店	エイブル	東京中央	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607560	01-Oct-13	C(14-16)	e6002	株式会社エイブル 　浦和西口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607561	01-Oct-13	C(14-16)	w466	株式会社ハウスパートナー青戸店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607562	01-Oct-13	C(14-16)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
